City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Flinders,AU,86.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
18,Praya,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
23,Atuona,PF,80.74,overcast clouds,-9.8,-139.0333,Villa Enata
27,Uribia,CO,80.56,overcast clouds,11.7139,-72.266,Hotel Uribia
29,Padang,ID,82.4,light rain,-0.9492,100.3543,Mercure Padang
31,Phan Thiet,VN,88.7,scattered clouds,10.9333,108.1,Hotel Saigon-PT
34,Arraial Do Cabo,BR,75.31,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
35,Rikitea,PF,78.3,scattered clouds,-23.1203,-134.9692,Pension Maro'i
36,Carnarvon,AU,87.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
41,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Carutapera,BR,75.83,broken clouds,-1.195,-46.02,Lidera
48,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
49,Lethem,GY,79.21,overcast clouds,3.3803,-59.7968,Savannah Inn
50,Ternate,ID,84.13,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
51,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Suyan,PH,89.6,few clouds,6.0603,125.3853,
74,Kilindoni,TZ,80.38,moderate rain,-7.9139,39.6668,Bustani B&B
76,Victoria,HK,81.0,few clouds,22.2855,114.1577,Mini Hotel Central
78,Georgetown,MY,84.0,scattered clouds,5.4112,100.3354,Cititel Penang
84,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
86,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
88,Maceio,BR,78.8,scattered clouds,-9.6658,-35.7353,Poutur Pousada
89,Katobu,ID,86.97,light rain,-4.9408,122.5276,La Ode Husein
90,Miri,MY,86.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
99,Vaitape,PF,82.78,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
101,Geraldton,AU,84.2,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
102,Buala,SB,86.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
105,Bengkulu,ID,80.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
110,Butaritari,KI,82.6,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Hobyo,SO,81.82,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
117,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
118,Jamame,SO,80.42,overcast clouds,0.0722,42.7506,
125,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
130,Cockburn Town,TC,76.33,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
133,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
135,Labuhan,ID,86.74,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
140,Saint George,US,80.6,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
142,Kalmunai,LK,82.62,scattered clouds,7.4167,81.8167,VS Villa
146,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
148,Kirakira,SB,87.08,broken clouds,-10.4544,161.9205,SanBiz Lodge
149,Atar,MR,79.9,broken clouds,20.5169,-13.0499,Oumou Elghoura
150,Sandakan,MY,86.0,scattered clouds,5.8402,118.1179,Hotel Sandakan
151,Nelson Bay,AU,81.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
157,Vanimo,PG,83.3,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
158,Bonthe,SL,77.97,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
161,Moindou,NC,82.4,overcast clouds,-21.6924,165.67700000000002,Gite de la RYAWA
162,Howard Springs,AU,87.01,light rain,-12.497,131.047,buffalo beach hostel
164,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
167,Malpe,IN,78.8,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
174,Namibe,AO,76.37,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
177,Ciudad Bolivar,VE,80.67,broken clouds,8.1222,-63.5497,Hotel Edi
178,Mangrol,IN,81.45,clear sky,21.1167,70.1167,Hotel The Royal Honours
179,Barpali,IN,86.61,clear sky,21.2,83.5833,GREEN HOUSE LODGE
182,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,Scoop Guest House
183,Ninh Binh,VN,86.07,broken clouds,20.2539,105.975,Kinh Do Hotel
184,Hasaki,JP,75.0,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
185,Gambela,ET,77.83,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
193,Chone,EC,75.24,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
195,Pointe Michel,DM,77.18,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
197,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
205,Meulaboh,ID,81.0,overcast clouds,4.1363,96.1285,Kost Pria
207,Suleja,NG,80.6,broken clouds,9.1758,7.1808,Capy Motel
209,Manokwari,ID,83.53,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
215,Tecoanapa,MX,79.97,clear sky,16.5167,-98.75,Hotel Manglares
220,Aquiraz,BR,82.4,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
227,Auki,SB,86.95,broken clouds,-8.7676,160.7034,Auki Motel
233,Khanpur,PK,81.57,clear sky,28.6453,70.6567,Ahmad bartan store
238,Pyapon,MM,85.17,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
241,Fountain Hills,US,89.6,clear sky,33.6117,-111.7174,Lakeshore Hotel & Suites
243,Vao,NC,76.12,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
244,Adoni,IN,84.2,overcast clouds,15.6333,77.2833,Bheemas Regency
245,Kavaratti,IN,82.29,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
251,Puerto Narino,CO,75.2,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
252,Timbiqui,CO,75.38,moderate rain,2.7717,-77.6654,hotel diana
253,Kidal,ML,75.34,clear sky,18.4411,1.4078,
260,Kavieng,PG,83.73,light rain,-2.5744,150.7967,Nusa Island Retreat
262,Puerto Escondido,MX,82.4,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
267,Katherine,AU,89.6,scattered clouds,-14.4667,132.2667,Pine Tree Motel
277,Mucurapo,TT,79.0,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
278,Raybag,IN,78.8,broken clouds,16.4833,74.7833,SHREE RAM TRADERS
283,Nhulunbuy,AU,87.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
