City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,17.6,53,0,13.8,clear sky
1,Jamestown,US,42.097,-79.2353,46.0,31,90,9.22,overcast clouds
2,Bluff,NZ,-46.6,168.3333,60.01,77,53,20.0,broken clouds
3,New Norfolk,AU,-42.7826,147.0587,66.99,42,64,7.0,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,63.0,93,0,3.0,clear sky
5,Kodiak,US,57.79,-152.4072,48.2,49,40,10.36,scattered clouds
6,Cordoba,AR,-31.4135,-64.1811,70.0,82,0,5.75,clear sky
7,Wilmington,US,34.2257,-77.9447,44.6,61,1,4.12,clear sky
8,Mao,ES,39.8885,4.2658,55.4,76,0,13.8,clear sky
9,Les Cayes,HT,18.2,-73.75,73.65,84,11,7.27,few clouds
10,Ushuaia,AR,-54.8,-68.3,37.4,81,40,10.36,scattered clouds
11,Bredasdorp,ZA,-34.5322,20.0403,50.0,87,0,3.96,clear sky
12,Chuy,UY,-33.6971,-53.4616,64.81,89,2,7.02,clear sky
13,Yar-Sale,RU,66.8333,70.8333,22.44,99,100,3.31,overcast clouds
14,Flinders,AU,-34.5833,150.8552,86.0,57,5,1.99,clear sky
15,Mataura,NZ,-46.1927,168.8643,60.01,77,76,20.0,broken clouds
16,Cape Town,ZA,-33.9258,18.4232,66.0,94,75,4.61,broken clouds
17,Saskylakh,RU,71.9167,114.0833,-9.92,93,16,2.44,few clouds
18,Praya,CV,14.9215,-23.5087,75.2,41,0,17.27,clear sky
19,Saint-Junien,FR,45.8833,0.9,39.99,60,0,8.05,clear sky
20,Dunedin,NZ,-45.8742,170.5036,70.3,53,9,10.98,clear sky
21,Belen,TR,36.4891,36.2233,53.6,100,40,3.44,scattered clouds
22,Husavik,IS,66.0449,-17.3389,23.0,74,90,18.41,light snow
23,Atuona,PF,-9.8,-139.0333,80.74,74,100,11.81,overcast clouds
24,Castro,BR,-24.7911,-50.0119,55.44,99,51,3.51,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,37.4,75,20,9.22,few clouds
26,Palmer,US,42.1584,-72.3287,32.0,55,20,1.5,few clouds
27,Uribia,CO,11.7139,-72.266,80.56,67,100,13.96,overcast clouds
28,Luderitz,NA,-26.6481,15.1594,69.26,54,5,13.98,clear sky
29,Padang,ID,-0.9492,100.3543,82.4,65,90,2.3,light rain
30,Arlit,NE,18.7369,7.3853,71.47,11,0,9.42,clear sky
31,Phan Thiet,VN,10.9333,108.1,88.7,57,48,13.85,scattered clouds
32,Lebu,CL,-37.6167,-73.65,52.88,91,3,9.06,clear sky
33,Thompson,CA,55.7435,-97.8558,32.0,55,20,3.44,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,75.31,74,27,4.36,scattered clouds
35,Rikitea,PF,-23.1203,-134.9692,78.3,57,35,20.36,scattered clouds
36,Carnarvon,AU,-24.8667,113.6333,87.8,35,0,13.8,clear sky
37,Vire,FR,48.9167,-0.8333,39.2,81,20,5.75,few clouds
38,Nikolskoye,RU,59.7035,30.7861,34.0,93,0,6.71,clear sky
39,Sovetskiy,RU,61.3614,63.5842,31.06,94,100,7.23,overcast clouds
40,Busselton,AU,-33.65,115.3333,68.0,84,100,8.01,light rain
41,Mahebourg,MU,-20.4081,57.7,78.8,89,40,3.44,light rain
42,Uarini,BR,-2.99,-65.1083,74.61,98,100,2.66,overcast clouds
43,Carutapera,BR,-1.195,-46.02,75.83,92,76,5.97,broken clouds
44,Nanortalik,GL,60.1432,-45.2371,35.26,91,100,12.82,overcast clouds
45,College,US,64.8569,-147.8028,30.99,86,90,4.61,snow
46,Hobart,AU,-42.8794,147.3294,68.0,32,40,18.41,scattered clouds
47,Bara,NG,10.3744,10.7288,74.53,14,57,6.82,broken clouds
48,Tautira,PF,-17.7333,-149.15,87.8,66,40,4.61,light rain
49,Lethem,GY,3.3803,-59.7968,79.21,77,100,10.67,overcast clouds
50,Ternate,ID,0.8,127.4,84.13,75,62,9.13,broken clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,77,5.01,broken clouds
52,Oranjemund,NA,-28.55,16.4333,60.85,87,0,7.43,clear sky
53,San Patricio,US,28.017,-97.5169,69.8,68,40,9.22,scattered clouds
54,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.34,87,42,7.43,scattered clouds
55,Grindavik,IS,63.8424,-22.4338,28.4,93,75,25.32,light snow
56,Albany,US,42.6001,-73.9662,39.0,62,77,4.23,broken clouds
57,Batagay-Alyta,RU,67.8006,130.4114,-3.89,84,100,8.88,overcast clouds
58,Clyde River,CA,70.4692,-68.5914,-13.0,84,1,10.36,clear sky
59,Hovd,MN,48.0056,91.6419,37.51,19,0,3.36,clear sky
60,Suyan,PH,6.0603,125.3853,89.6,51,20,9.22,few clouds
61,Dikson,RU,73.5069,80.5464,-10.64,81,97,4.14,overcast clouds
62,Zhovtneve,UA,50.6637,24.2492,31.23,90,26,6.78,scattered clouds
63,Tukrah,LY,32.5341,20.5791,69.13,30,36,20.69,scattered clouds
64,Inirida,CO,3.8653,-67.9239,74.39,95,100,2.48,light rain
65,Ribeira Grande,PT,38.5167,-28.7,62.44,82,100,32.57,overcast clouds
66,Margate,GB,51.3813,1.3862,42.01,71,100,3.0,overcast clouds
67,Airai,TL,-8.9266,125.4092,62.44,95,100,6.78,overcast clouds
68,Lanzhou,CN,36.0564,103.7922,39.2,87,75,4.47,broken clouds
69,Zhaotong,CN,27.3167,103.7167,58.68,49,79,2.53,broken clouds
70,Port Hedland,AU,-20.3167,118.5667,98.6,18,87,8.05,overcast clouds
71,Mandalgovi,MN,45.7625,106.2708,41.36,18,0,9.17,clear sky
72,Athabasca,CA,54.7169,-113.2854,42.8,49,100,6.24,light rain
73,La Ronge,CA,55.1001,-105.2842,39.2,28,58,1.14,broken clouds
74,Kilindoni,TZ,-7.9139,39.6668,80.38,81,99,13.29,moderate rain
75,Talnakh,RU,69.4865,88.3972,-5.55,76,3,10.67,clear sky
76,Victoria,HK,22.2855,114.1577,81.0,82,21,3.0,few clouds
77,Beyneu,KZ,45.3167,55.2,43.83,77,65,12.41,broken clouds
