City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-04-03 18:28:11,71.2906,-156.7887,-23.8,83,1,6.91
1,Puerto Ayora,EC,2021-04-03 18:23:46,-0.7393,-90.3518,84.2,70,20,8.05
2,Zhezkazgan,KZ,2021-04-03 18:28:11,47.8043,67.7144,40.66,58,89,17.69
3,Kindu,CD,2021-04-03 18:28:12,-2.95,25.95,74.98,86,80,2.51
4,Farakka,IN,2021-04-03 18:28:12,24.8167,87.9,79.79,11,0,5.39
5,Bereda,ES,2021-04-03 18:23:28,43.2686,-7.5406,50.0,87,6,18.99
6,Qaanaaq,GL,2021-04-03 18:23:42,77.484,-69.3632,-10.95,84,100,9.26
7,Rikitea,PF,2021-04-03 18:23:23,-23.1203,-134.9692,77.43,65,72,14.88
8,Nikolskoye,RU,2021-04-03 18:28:13,59.7035,30.7861,36.0,75,40,6.71
9,Vila Franca Do Campo,PT,2021-04-03 18:28:13,37.7167,-25.4333,62.6,82,75,19.57
10,Coihaique,CL,2021-04-03 18:28:13,-45.5752,-72.0662,60.8,48,75,10.36
11,Nome,US,2021-04-03 18:28:13,64.5011,-165.4064,19.4,79,90,5.75
12,Aklavik,CA,2021-04-03 18:28:14,68.2191,-135.0107,-5.8,71,90,9.22
13,Guerrero Negro,MX,2021-04-03 18:28:14,27.9769,-114.0611,68.22,59,14,11.59
14,Raga,SS,2021-04-03 18:28:14,8.4596,25.678,82.92,13,69,4.74
15,Miraflores,MX,2021-04-03 18:28:15,19.2167,-98.8083,69.8,23,20,6.91
16,Hasaki,JP,2021-04-03 18:23:52,35.7333,140.8333,57.99,88,0,3.44
17,Biak,ID,2021-04-03 18:28:15,-0.9131,122.8766,78.28,78,92,4.81
18,Busselton,AU,2021-04-03 18:24:03,-33.65,115.3333,62.01,91,100,1.01
19,Jamestown,US,2021-04-03 18:28:15,42.097,-79.2353,46.99,28,75,12.66
20,Lavrentiya,RU,2021-04-03 18:28:16,65.5833,-171.0,1.2,90,99,9.08
21,Talnakh,RU,2021-04-03 18:28:16,69.4865,88.3972,-12.62,82,1,7.34
22,Puerto Berrio,CO,2021-04-03 18:28:16,6.4916,-74.4033,86.85,67,97,2.86
23,Zhigansk,RU,2021-04-03 18:28:17,66.7697,123.3711,-10.35,99,99,2.19
24,Tura,IN,2021-04-03 18:28:17,25.5198,90.2201,73.44,42,0,3.96
25,Albany,US,2021-04-03 18:27:13,42.6001,-73.9662,48.99,16,2,1.01
26,Chokurdakh,RU,2021-04-03 18:24:15,70.6333,147.9167,-25.53,100,51,4.43
27,Mount Gambier,AU,2021-04-03 18:26:44,-37.8333,140.7667,57.2,94,90,3.4
28,Ribeira Grande,PT,2021-04-03 18:28:18,38.5167,-28.7,62.6,94,75,20.71
29,Nantucket,US,2021-04-03 18:28:18,41.2835,-70.0995,41.0,45,47,14.2
30,Bengkulu,ID,2021-04-03 18:23:41,-3.8004,102.2655,77.43,83,85,14.12
31,Jalu,LY,2021-04-03 18:28:18,29.0331,21.5482,73.49,17,0,5.28
32,Sao Filipe,CV,2021-04-03 18:28:18,14.8961,-24.4956,75.69,66,14,8.32
33,Mananjary,MG,2021-04-03 18:28:19,-21.2167,48.3333,74.68,78,1,3.51
34,Leshukonskoye,RU,2021-04-03 18:28:19,64.8989,45.7622,23.31,96,81,1.3
35,Lorengau,PG,2021-04-03 18:28:19,-2.0226,147.2712,78.96,81,100,6.15
